,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tessalit,70,ML,1567724042,18,20.2,1.01,95.81,0.69
1,Bethel,90,US,1567724042,100,60.79,-161.76,57.2,23.04
2,Belem de Sao Francisco,0,BR,1567724042,57,-8.75,-38.97,74.75,23.8
3,Puerto Ayora,0,EC,1567724042,65,-0.74,-90.35,77.0,23.04
4,Hammerfest,75,NO,1567724043,93,70.66,23.68,46.4,13.87
5,Wana,0,PK,1567724043,56,32.31,69.59,63.05,2.35
6,Pangnirtung,40,CA,1567723953,87,66.15,-65.72,42.8,6.93
7,Clyde River,75,CA,1567724043,86,70.47,-68.59,41.0,2.24
8,Punta Arenas,0,CL,1567724044,80,-53.16,-70.91,41.0,6.93
9,Hermanus,0,ZA,1567724044,81,-34.42,19.24,57.0,18.01
10,Busselton,4,AU,1567724044,68,-33.64,115.35,36.0,12.55
11,Port Alfred,71,ZA,1567724044,68,-33.59,26.89,55.99,3.0
12,Colares,0,PT,1567724044,41,38.8,-9.45,77.0,6.93
13,Albany,75,US,1567723863,52,42.65,-73.75,69.8,4.7
14,Ushuaia,20,AR,1567724045,69,-54.81,-68.31,37.4,17.22
15,Ahipara,62,NZ,1567724045,100,-35.17,173.16,53.01,33.53
16,Nishihara,1,JP,1567724045,83,35.74,139.53,84.99,2.26
17,Saskylakh,100,RU,1567724045,96,71.97,114.09,43.97,10.16
18,Talnakh,75,RU,1567724046,93,69.49,88.39,50.0,15.66
19,Mataura,94,NZ,1567724046,80,-46.19,168.86,46.99,11.01
20,Sitka,0,US,1567724046,27,37.17,-99.65,96.01,11.99
21,Naze,100,NG,1567724046,96,5.43,7.07,74.03,2.82
22,Berlevag,0,NO,1567724047,87,70.86,29.09,46.4,3.36
23,Muli,7,CN,1567724047,74,28.08,109.56,72.05,2.84
24,Tigil,100,RU,1567724047,88,57.8,158.67,50.27,15.43
25,Ilebo,11,CD,1567724047,60,-4.33,20.59,74.75,1.83
26,Hay River,40,CA,1567724048,71,60.82,-115.79,57.2,13.87
27,Jamestown,87,AU,1567724048,85,-33.21,138.6,49.73,22.12
28,Marsh Harbour,0,BS,1567724048,81,26.54,-77.06,84.11,17.0
29,Abnub,0,EG,1567724048,48,27.27,31.15,84.2,4.7
30,Barrow,100,AR,1567724049,68,-38.31,-60.23,40.19,7.43
31,Buala,69,SB,1567724049,78,-8.15,159.59,79.43,16.82
32,Quelimane,20,MZ,1567724050,68,-17.88,36.89,69.8,3.36
33,Kahului,40,US,1567723948,49,20.89,-156.47,91.4,23.04
34,Rikitea,100,PF,1567724053,78,-23.12,-134.97,68.63,16.71
35,Khandyga,0,RU,1567724053,51,62.65,135.58,49.73,4.74
36,San Juan del Sur,75,NI,1567724053,70,11.25,-85.87,84.2,13.69
37,Thompson,90,CA,1567724054,50,55.74,-97.86,53.6,5.82
38,Yerbogachen,100,RU,1567724054,95,61.28,108.01,45.77,6.42
39,Sola,54,TZ,1567724054,71,-3.17,33.8,68.99,2.82
